strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR1541327	Klebsiella pneumoniae	strong	154	350347	771146	5634084	no	-	ST101	1	2	10	15	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.98%		O1/O2v1	O1ab	none	Very high	98.03%		aac(3)-IIa.v1^;aadA2;aadA^;aph(3')-VIb*;strA.v1;strA.v1	-	-	-	-	mphA	cmlA1*;floR.v1*	-	sul3	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	aph(6)-Id.v1*?-43%;qnrS10?-0%;qnrS1?-57%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541328	Klebsiella pneumoniae	strong	2069	14073	84618	6640683	no	total_size	ST1193	0	2	10	18	-	0	-	0	-	0	-	0	-	0	-	wzi22	unknown (KL22)	unknown (K22)	?-+	None	97.28%	KL22_01_galF,KL22_18_ugd	O1/O2v1	O2a	none	Very high	98.69%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	CatB4.v1?;catII.2*	-	sul1;sul2	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK36-49%	-	-	OXA-9.v1*-42%	aph(3')-VIb*?-0%	ST1193	2	83	2	1	9	4	135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541330	Klebsiella pneumoniae	strong	171	350347	771311	5601516	no	-	ST101	1	2	9	9	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	?-	Good	99.98%	KL17_12_wcaJ	O1/O2v1	O1ab	none	Very high	98.03%		aadA2;aadA^	-	-	-	-	mphA	cmlA1*	-	sul3	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	-	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	CatB4.v1?-0%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541331	Klebsiella pneumoniae	strong	148	214691	754521	5486203	no	-	ST392	0	3	9	11	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL27)	unknown (K27)	?-	None	99.21%	KL27_03_wzi,KL27_04_wza,KL27_05_wzb,KL27_06_wzc,KL27_07_wcaJ	O4	O4	none	Very high	99.71%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11^	35Q	-	MgrB-49%	GyrA-83I;ParC-80I	-	-	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541332	Klebsiella pneumoniae	strong	108	437589	771160	5605739	no	-	ST101	1	2	10	12	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.98%		O1/O2v1	O1ab	none	Very high	98.03%		aadA2;aadA^;aph(3')-VIb*;strA.v1	-	-	-	-	mphA	cmlA1*	-	sul3	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	qnrS10?-0%;qnrS1?-57%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541334	Klebsiella pneumoniae	strong	90	416977	765214	5515183	no	-	ST294	1	2	8	12	ybt 16; ICEKp12	530-5LV	-	0	-	0	-	0	-	0	-	wzi274	KL30	K30	none	Very high	99.14%		O1/O2v1	O2a	none	Very high	99.88%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	92	122	121	129	11	298	332	2	11	4	160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541335	Klebsiella pneumoniae	strong	137	241452	545319	5647917	no	-	ST395	0	2	5	6	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	unknown (KL108)	none	Perfect	100.00%		O1/O2v2	O1ab	none	Very high	98.97%		aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	-	-	sul1*	-	-	-	-	-	-	-	NDM-1	SHV-11	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541336	Klebsiella pneumoniae	strong	104	393933	765214	5527247	no	-	ST294	1	2	8	12	ybt 16; ICEKp12	530-5LV	-	0	-	0	-	0	-	0	-	wzi274	KL30	K30	none	Very high	99.14%		O1/O2v1	O2a	none	Very high	99.88%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	92	122	121	129	11	298	332	2	11	4	160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541337	Klebsiella pneumoniae	strong	523	99607	355019	6146654	no	-	ST36	1	2	10	18	ybt 13; ICEKp2	464-4LV	-	0	-	0	-	0	-	0	-	wzi22	KL27	K27	?	Good	100.00%		O1/O2v2	O2afg	?	Good	98.43%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1^;strB.v1	-	-	qnrS1	-	mphA	CatB4.v1?;catII.2*	-	sul1;sul2	tet(A).v1	-	dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48*	SHV-11^	35Q	-	-	-	-	-	ST36	2	1	2	1	7	1	7	6	4	131	61	1*	126	131*	2*	4	4	242*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541339	Klebsiella pneumoniae	strong	73	380043	602960	5287944	no	-	ST3677	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL18	K18	none	Very high	98.95%		O1/O2v1	O1ab	none	Very high	98.55%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST3677	10	1	1	1	9	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541340	Klebsiella michiganensis	strong	457	202520	438513	6460955	no	-	NA	1	1	7	12	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	Low	89.42%	KL68_02_cpsACP	O1/O2v1	O1ab	-+*	Good	72.16%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aac(6')-Ib-cr.v1^;aadA2^;ant(2'')-Ia;aph(3')-Ia*?	-	-	-	-	-	catB3.v2	arr-3	sul1	-	-	dfrA12	OXA-1;TEM-210*	-	CTX-M-15;OXY-1-1^	-	-	-	-	-	-	-	-	aph(6)-Id.v2*?-0%;dfrA17?-0%	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	-	111*-0%	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541341	Klebsiella pneumoniae	strong	442	133732	446401	6170814	no	-	ST22	1	2	9	14	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL9	K9	?-+	Good	99.99%	KL9_03_wzi,KL9_19_ugd	O1/O2v2	O2afg	?-	Good	98.44%	O1/O2v2_02_wzt	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1*?;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(D)	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	sul1?-0%	-	ST22	2	3	1	1	1	4	4	92	122	121	143	11	298	332*	2	11*	4	160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541342	Klebsiella pneumoniae	strong	168	285384	917885	5696977	no	-	ST35	1	2	2	2	ybt 9; ICEKp3	173-2LV	-	0	-	0	-	0	-	0	-	wzi16	KL16	K16	none	Very high	99.42%		O1/O2v1	O1ab	none	Very high	98.51%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-3	-	OXA-48	SHV-33	-	-	-	-	-	-	ST35	2	1	2	1	10	1	19	5	11	6	5	1	349	427	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541343	Klebsiella pneumoniae	strong	71	483991	808689	5447914	no	-	ST405	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.24%		O4	O4	-	Good	99.73%	O4_06_glycosyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-76	35Q	-	-	-	-	-	ST405	2	1	62	3	10	4	110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541345	Klebsiella pneumoniae	strong	67	483991	808689	5444973	no	-	ST405	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.24%		O4	O4	-	Good	99.73%	O4_06_glycosyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-76	35Q	-	-	-	-	-	ST405	2	1	62	3	10	4	110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541346	Klebsiella pneumoniae	strong	157	224847	532853	5549795	no	-	ST1414	0	0	1	2	-	0	-	0	-	0	-	0	-	0	-	wzi490	KL8	K8	none	Very high	99.41%		O1/O2v1	O1ab	none	Very high	97.68%		strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-101*	-	-	-	-	-	-	ST1414	2	1	20	1	10	96	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541347	Klebsiella pneumoniae	strong	74	497114	1528707	5389304	no	-	ST3679	1	0	0	0	ybt 4; plasmid	329-1LV	-	0	-	0	-	0	-	0	-	wzi133	KL25	K25	-	High	98.53%	KL25_09_wfeD	O1/O2v1	O1ab	none	Very high	98.44%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST3679	47	150	1	1	4	1	12	18	20	27	46	13	41	71	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541348	Klebsiella pneumoniae	strong	113	295370	439624	5441791	no	-	ST36	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.99%		O1/O2v2	O2afg	none	Very high	98.42%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST36	2	1	2	1	7	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541351	Klebsiella pneumoniae	strong	173	289952	798298	5688011	no	-	ST395	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	unknown (KL108)	none	Very high	100.00%		O1/O2v2	O1ab	none	Very high	98.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1	-	CTX-M-15	-	NDM-1	SHV-11	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541353	Klebsiella pneumoniae	strong	164	286196	677723	5799819	no	-	ST405	1	2	9	13	ybt 27; ICEKp22	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.23%		O4	O4	none	Very high	99.68%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-76	35Q	-	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541357	Klebsiella pneumoniae	strong	104	206742	674365	5490608	no	-	ST3680	1	0	0	0	ybt 4; plasmid	501-1LV	-	0	-	0	-	0	-	0	-	wzi555	KL178	unknown (KL178)	*	Very high	96.57%		O1/O2v1	O1ab	none	Very high	97.68%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST3680	2	33	1	1	16	1	9	18	20	143	18	13	350	38	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541358	Klebsiella pneumoniae	strong	73	441517	1541597	5527404	no	-	ST336	1	0	5	6	ybt 15; ICEKp11 (truncated)	230-1LV	-	0	-	0	-	0	-	0	-	wzi141	KL25	K25	-	High	99.17%	KL25_09_wfeD	O5	O5	*	High	94.21%		strA.v1^;strB.v1	-	-	-	-	mphA	-	-	sul2*	-	-	dfrA14.v2*	TEM-1D.v1^	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37*-54%	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541361	Klebsiella pneumoniae	strong	95	284530	621481	5453924	no	-	ST15	0	1	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	unknown (KL112)	-	High	98.63%	KL112_07_wbaP	O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541362	Klebsiella pneumoniae	strong	100	307856	704800	5370204	no	-	ST37	0	0	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.79%		O4	O4	none	Very high	99.72%		aadA^	-	-	-	-	-	-	-	sul1	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	fosA7*?-0%	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541363	Klebsiella pneumoniae	strong	306	344873	1424564	5567807	no	-	ST16	0	2	10	11	-	0	-	0	-	0	-	0	-	0	-	wzi75	KL105	unknown (KL105)	none	Very high	99.80%		O1/O2v2	O2afg	none	Very high	98.45%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	OmpK36-38%	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541367	Klebsiella pneumoniae	strong	98	324019	1424461	5491572	no	-	ST16	0	2	10	11	-	0	-	0	-	0	-	0	-	0	-	wzi75	KL105	unknown (KL105)	none	Very high	99.80%		O1/O2v2	O2afg	none	Very high	98.45%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	-	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541368	Klebsiella pneumoniae	strong	109	266404	621481	5463567	no	-	ST15	0	1	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	unknown (KL112)	-	High	98.63%	KL112_07_wbaP	O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541371	Klebsiella pneumoniae	strong	139	416247	1402853	5130548	no	-	ST636	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL61	K61	*	Very high	96.50%		O5	O5	*	High	94.22%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	CatB4.v1?-0%	CTX-M-103*?-58%	ST636	2	5	1	1	4	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541373	Klebsiella pneumoniae	strong	1037	278677	497271	5938764	no	-	ST320	1	2	2	2	ybt 4; plasmid	31	-	0	-	0	-	0	-	0	-	wzi9	KL9	K9	none	Very high	99.98%		O1/O2v2	O1ab	none	Very high	98.45%		ant(2'')-Ia*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-23	SHV-11^	35Q	-	-	-	-	aac(6')-Ib-cr.v1*?-0%;aph(3'')-Ib?-0%;aph(6)-Id.v2?-72%;strA.v1?-55%	ST320	3	6	2	1	7	4	41	18	20	27	18	13	81	38	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541376	Klebsiella pneumoniae	strong	92	370224	1424461	5484526	no	-	ST16	0	2	10	11	-	0	-	0	-	0	-	0	-	0	-	wzi75	KL105	unknown (KL105)	none	Very high	99.80%		O1/O2v2	O2afg	none	Very high	98.45%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	-	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541377	Klebsiella pneumoniae	strong	182	276308	547637	5725903	no	-	ST395	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	unknown (KL108)	none	Perfect	100.00%		O1/O2v2	O1ab	none	Very high	98.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1	-	CTX-M-15	-	NDM-1	SHV-11	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541384	Klebsiella pneumoniae	strong	133	298756	512187	5488283	no	-	ST307	0	2	9	13	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	?	Good	99.27%		O1/O2v2	O2afg	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541385	Klebsiella pneumoniae	strong	155	265070	545318	5660706	no	-	ST395	0	2	5	6	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	unknown (KL108)	none	Perfect	100.00%		O1/O2v2	O1ab	none	Very high	98.97%		aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	-	-	sul1*	-	-	-	-	-	-	-	NDM-1	SHV-11	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541387	Klebsiella pneumoniae	strong	117	315731	736550	5291218	no	-	ST17	0	0	4	4	-	0	-	0	-	0	-	0	-	0	-	wzi173	unknown (KL155)	unknown (KL155)	?-	None	96.31%	KL155_18_rmlB,KL155_19_rmlA,KL155_20_rmlD,KL155_21_rmlC	unknown (OL13)	unknown (O13)	?-+*	None	91.93%	OL13_01_rfbB,OL13_02_rfbA,OL13_03_rfbD,OL13_04_rfbC,OL13_05_wbbL	aadA	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v2	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541388	Klebsiella pneumoniae	strong	1741	275225	770517	6075395	no	-	ST14	0	1	3	3	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.75%		O1/O2v1	O1ab	none	Very high	99.99%		-	-	-	-	-	-	-	-	-	-	-	dfrA17	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	-	aac(3)-IId*?-49%;aadA5*?-63%;aph(3'')-Ib?-0%;aph(6)-Id.v1*?-43%	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtQ_41*-0%;ybtP_102*-0%;iucC_28*-0%
ERR1541390	Klebsiella pneumoniae	strong	696	356015	956196	5689822	no	-	ST882	1	0	0	0	ybt 4; plasmid	31	-	0	-	0	-	0	-	0	-	wzi248	KL16	K16	none	Very high	99.37%		O1/O2v1	O1ab	none	Very high	98.20%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-101*	-	-	-	-	-	TEM-117?-0%	ST882	2	1	1	37	1	27	19	18	20	27	18	13	81	38	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1541393	Klebsiella grimontii	strong	94	514958	1302939	5798040	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL161)	unknown (KL161)	-+*	None	76.61%	KL161_02_cpsACP,KL161_12_rmlD,KL161_13_wcuP,KL161_14,KL161_15,KL161_16_wzx	O1/O2v1	O1ab	-+*	Good	72.33%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-6-1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
